run,session_time,pid,chunk,classified_outcome,run_exit_code,run_hung,stdout_done,stdout_cycle,loads_before_fault,saves_before_fault,code,pc,site,module,offset,thread,frames_since_restore,truncated,interleaved,regs_trusted,n_faults_in_session,access_kind,access_addr,access_who,access_who_class,access_heap,access_heap_rewind,faulting_regs,unwind_depth,chain,addr_shape,half_ptr_match,shape_line,pattern_line,stack_base,stack_limit,stack_reserve,rsp,park_module,thread_role,n_regs_reported,n_regs_restored,n_regs_held,n_regs_neither,n_regs_rewind_heap,n_regs_present_heap,n_regs_no_heap,reg_summary
1,2026-08-31 18:50:40,4388,chunk_01.txt,DIED,0,0,0,entered,6,6,C0000005,00007FFDF798C559,ntdll.dll+C559,ntdll.dll,C559,21156,0,0,0,1,1,reading,0000000000000000,unmapped,unmapped,,,rax;rcx;rdx;rbp;rsi;r9;r10;r12,7,ntdll.dll+C559 > ntdll.dll+D8E2 > mono-2.0-bdwgc.dll+70D07 > mono-2.0-bdwgc.dll+70CAB > ss_ctx.exe+2FFA > KERNEL32.DLL+2E8D7 > ntdll.dll+8C3FC,null-or-small,,,0,0000002590000000,000000258FFF5000,000000258F000000,000000258FFFF600,ntdll.dll,restored-other,3,3,0,0,1,0,2,rsp=000000258FFFF600|committed|side=restored-from-save;r8=000000258FFFF600|committed|side=restored-from-save;r14=0000016CE871E318|committed|heap=game's runtime/rewind|side=restored-from-save
2,2026-08-31 18:50:44,9732,chunk_01.txt,DIED,0,0,0,entered,19,19,C0000005,00007FFDF4669A68,ucrtbase.dll+19A68,ucrtbase.dll,19A68,12912,0,0,0,1,1,writing,0000000000000010,unmapped,unmapped,,,,7,ucrtbase.dll+19A68 > ucrtbase.dll+1E541 > ucrtbase.dll+18588 > ss_ctx.exe+124A2 > ss_ctx.exe+3238 > KERNEL32.DLL+2E8D7 > ntdll.dll+8C3FC,null-or-small,,,0,000000383C400000,000000383C3F5000,000000383B400000,000000383C3FF020,ucrtbase.dll,restored-other,5,3,2,0,0,0,5,rcx=00007FFDF4669A5C|committed|side=held-in-present;rbx=000000383C3FF1C0|committed|side=restored-from-save;rsp=000000383C3FF020|committed|side=restored-from-save;rsi=00007FFDF4650000|committed|side=held-in-present;r8=000000383C3FF020|committed|side=restored-from-save
3,2026-08-31 18:50:49,19856,chunk_01.txt,DIED,0,0,0,entered,17,17,C0000005,00007FFDF466E558,ucrtbase.dll+1E558,ucrtbase.dll,1E558,9800,0,0,0,1,1,reading,FFFFFFFFFFFFFFFF,unmapped,unmapped,,,,6,ucrtbase.dll+1E558 > ucrtbase.dll+18588 > ss_ctx.exe+124A2 > ss_ctx.exe+331D > KERNEL32.DLL+2E8D7 > ntdll.dll+8C3FC,all-ones,,"high half FFFFFFFF present, low half ALL ONES - a 64-bit value whose low dword was -1 when it was read",0,000000376AC00000,000000376ABF5000,0000003769C00000,000000376ABFF130,ucrtbase.dll,restored-other,6,5,1,0,0,0,6,rsp=000000376ABFF130|committed|side=restored-from-save;rbp=000000376ABFF2C0|committed|side=restored-from-save;rsi=00007FFDF4650000|committed|side=held-in-present;rdi=000000376ABFF250|committed|side=restored-from-save;r8=000000376ABFF130|committed|side=restored-from-save;r13=00000154D984F0E0|committed|side=restored-from-save
5,2026-08-31 18:51:01,1100,chunk_01.txt,DIED,0,0,0,entered,23,23,C0000005,00007FFDF466E426,ucrtbase.dll+1E426,ucrtbase.dll,1E426,4512,0,0,0,1,1,writing,0000000000000030,unmapped,unmapped,,,,6,ucrtbase.dll+1E426 > ucrtbase.dll+18588 > ss_ctx.exe+124A2 > ss_ctx.exe+3238 > KERNEL32.DLL+2E8D7 > ntdll.dll+8C3FC,null-or-small,,,0,000000E90C400000,000000E90C3F5000,000000E90B400000,000000E90C3FF370,ucrtbase.dll,restored-other,6,6,0,0,0,0,6,rax=000000E90C3FF9C0|committed|side=restored-from-save;rcx=000000E90C3FF490|committed|side=restored-from-save;rsp=000000E90C3FF370|committed|side=restored-from-save;rbp=000000E90C3FF500|committed|side=restored-from-save;rdi=000000E90C3FF490|committed|side=restored-from-save;r8=000000E90C3FF400|committed|side=restored-from-save
8,2026-08-31 18:51:23,11600,chunk_01.txt,DIED,0,0,0,entered,22,22,C0000005,00007FFDF4669CD8,ucrtbase.dll+19CD8,ucrtbase.dll,19CD8,11788,0,0,0,1,1,reading,0000000000019DFC,unmapped,unmapped,,,,7,ucrtbase.dll+19CD8 > ucrtbase.dll+1E541 > ucrtbase.dll+18588 > ss_ctx.exe+124A2 > ss_ctx.exe+3238 > KERNEL32.DLL+2E8D7 > ntdll.dll+8C3FC,other,,,0,000000D37FA00000,000000D37F9F5000,000000D37EA00000,000000D37F9FEF00,ucrtbase.dll,restored-other,7,5,2,0,0,0,7,rcx=00007FFDF4669CD8|committed|side=held-in-present;rbx=000000D37F9FF0A0|committed|side=restored-from-save;rsp=000000D37F9FEF00|committed|side=restored-from-save;rbp=000000D37F9FF060|committed|side=restored-from-save;rsi=00007FFDF4650000|committed|side=held-in-present;rdi=000000D37F9FF0A0|committed|side=restored-from-save;r8=000000D37F9FEF00|committed|side=restored-from-save
12,2026-08-31 18:51:50,17312,chunk_01.txt,DIED,0,0,0,entered,14,14,C0000005,00007FFDF473DC1F,ucrtbase.dll+EDC1F,ucrtbase.dll,EDC1F,22592,0,0,0,1,1,reading,0000000000000000,unmapped,unmapped,,,rdx;rbp;r12,9,ucrtbase.dll+EDC1F > ucrtbase.dll+19EC1 > ucrtbase.dll+19A09 > ucrtbase.dll+1E541 > ucrtbase.dll+18588 > ss_ctx.exe+124A2 > ss_ctx.exe+3238 > KERNEL32.DLL+2E8D7 > ntdll.dll+8C3FC,null-or-small,,,0,000000200BC00000,000000200BBF5000,000000200AC00000,000000200BBFF398,ucrtbase.dll,restored-other,6,4,2,0,0,0,6,rsp=000000200BBFF398|committed|side=restored-from-save;rdi=000000200BBFF9D0|committed|side=restored-from-save;r9=00007FFDF473DC1F|committed|side=held-in-present;r10=00007FFDF4650000|committed|side=held-in-present;r14=000000200BBFF590|committed|side=restored-from-save;r15=000000200BBFF9D0|committed|side=restored-from-save
13,2026-08-31 18:51:55,22796,chunk_01.txt,DIED,0,0,0,entered,5,5,C0000005,00007FFDF798DF5C,ntdll.dll+DF5C,ntdll.dll,DF5C,26052,0,0,0,1,1,writing,0000000000000018,unmapped,unmapped,,,,7,ntdll.dll+DF5C > ntdll.dll+DA3F > mono-2.0-bdwgc.dll+70D77 > mono-2.0-bdwgc.dll+70CAB > ss_ctx.exe+2FFA > KERNEL32.DLL+2E8D7 > ntdll.dll+8C3FC,null-or-small,,,0,000000FB6CE00000,000000FB6CDF5000,000000FB6BE00000,000000FB6CDFFAE0,ntdll.dll,restored-other,8,7,1,0,4,0,4,rax=00000222CEF6E2F0|committed|heap=game's runtime/rewind|side=restored-from-save;rcx=00000222CC688FC0|committed|heap=game's runtime/rewind|side=restored-from-save;rdx=000000FB6FDFF772|committed|side=restored-from-save;rbx=000000FB65D04000|committed|side=held-in-present;rsp=000000FB6CDFFAE0|committed|side=restored-from-save;rsi=00000222CC688FB8|committed|heap=game's runtime/rewind|side=restored-from-save;r9=00000222CC688FC0|committed|heap=game's runtime/rewind|side=restored-from-save;r14=000000FB6FDFF770|committed|side=restored-from-save
16,2026-08-31 18:52:13,21272,chunk_01.txt,DIED,0,0,0,entered,16,16,C0000005,00007FFDF4662E7A,ucrtbase.dll+12E7A,ucrtbase.dll,12E7A,20056,0,0,0,1,1,reading,0000000000000000,unmapped,unmapped,,,rax;rdx;r9;r10;r12;r14,7,ucrtbase.dll+12E7A > ucrtbase.dll+1E66F > ucrtbase.dll+18588 > ss_ctx.exe+124A2 > ss_ctx.exe+3238 > KERNEL32.DLL+2E8D7 > ntdll.dll+8C3FC,null-or-small,,,0,0000003610400000,00000036103F5000,000000360F400000,00000036103FF010,ucrtbase.dll,restored-other,6,4,2,0,0,0,6,rcx=00007FFDF4662E76|committed|side=held-in-present;rsp=00000036103FF010|committed|side=restored-from-save;rbp=00000036103FF120|committed|side=restored-from-save;rsi=00007FFDF4650000|committed|side=held-in-present;rdi=00000036103FF160|committed|side=restored-from-save;r8=00000036103FF030|committed|side=restored-from-save
18,2026-08-31 18:52:25,14460,chunk_01.txt,DIED,0,0,0,entered,1,1,C0000005,00007FFDF798AC77,ntdll.dll+AC77,ntdll.dll,AC77,7556,0,0,0,1,1,writing,0000000000000018,unmapped,unmapped,,,,8,ntdll.dll+AC77 > ntdll.dll+C66F > ntdll.dll+D8E2 > mono-2.0-bdwgc.dll+70D07 > mono-2.0-bdwgc.dll+70CAB > ss_ctx.exe+2FFA > KERNEL32.DLL+2E8D7 > ntdll.dll+8C3FC,null-or-small,,,0,000000253B000000,000000253AFF5000,000000253A000000,000000253AFFF490,ntdll.dll,restored-other,10,8,2,0,4,0,6,rax=000000253AFFF4E2|committed|side=restored-from-save;rcx=000000253AFFF4E0|committed|side=restored-from-save;rdx=000001F29FB45130|committed|heap=game's runtime/rewind|side=restored-from-save;rsp=000000253AFFF490|committed|side=restored-from-save;rbp=000000253AFFF529|committed|side=restored-from-save;rdi=000001F29CB09348|committed|heap=game's runtime/rewind|side=restored-from-save;r8=0000002533FE3470|committed|side=held-in-present;r9=000001F29CB09350|committed|heap=game's runtime/rewind|side=restored-from-save;r12=000001F29CB09350|committed|heap=game's runtime/rewind|side=restored-from-save;r15=0000002533FE33A0|committed|side=held-in-present
19,2026-08-31 18:52:27,8284,chunk_01.txt,DIED,0,0,0,entered,4,4,C0000005,00007FFDF468CCBE,ucrtbase.dll+3CCBE,ucrtbase.dll,3CCBE,14440,0,0,0,1,1,reading,0000000000000000,unmapped,unmapped,,,rax;rcx;r9;r10;r15,4,ucrtbase.dll+3CCBE > ss_ctx.exe+3063 > KERNEL32.DLL+2E8D7 > ntdll.dll+8C3FC,null-or-small,,,0,000000D7DB800000,000000D7DB7F5000,000000D7DA800000,000000D7DB7FF958,ss_ctx.exe,ss_ctx-parked,4,4,0,0,2,0,2,rbx=000002CF4B3FE0E0|committed|heap=game's runtime/rewind|side=restored-from-save;rsp=000000D7DB7FF958|committed|side=restored-from-save;rbp=000000D7DB7FF9E0|committed|side=restored-from-save;r12=000002CF4B8D4388|committed|heap=game's runtime/rewind|side=restored-from-save
