frame,total_ms,raster_ms,other_ms,flushes,tris,binned
1,0.000,3.827,-3.827,1,2,480
2,95.113,3.611,91.502,1,2,480
3,17.163,4.110,13.053,1,2,480
4,16.303,3.695,12.608,1,2,480
5,16.435,3.519,12.916,1,2,480
6,16.370,3.212,13.159,1,2,480
7,16.687,3.205,13.482,1,2,480
8,17.887,4.400,13.487,1,2,480
9,15.745,3.487,12.258,1,2,480
10,17.261,7.356,9.905,2,4,480
11,16.695,4.055,12.640,1,2,480
12,16.024,3.488,12.536,1,2,480
13,16.263,3.248,13.015,1,2,480
14,16.870,3.461,13.409,1,2,480
15,17.196,3.986,13.210,1,2,480
16,16.427,3.763,12.664,1,2,480
17,16.305,3.394,12.911,1,2,480
18,16.529,3.227,13.302,1,2,480
19,16.845,3.435,13.411,1,2,480
20,16.862,3.608,13.254,1,2,480
21,16.226,3.196,13.030,1,2,480
22,16.720,3.224,13.495,1,2,480
23,21.515,7.836,13.679,1,6,1160
24,16.482,7.871,8.610,1,6,1160
25,16.746,7.920,8.827,1,6,1160
26,16.640,7.922,8.718,1,6,1160
27,17.032,8.287,8.746,1,6,1160
28,16.167,7.800,8.367,1,6,1160
29,16.792,7.915,8.877,1,6,1160
30,17.270,8.471,8.799,1,6,1160
31,122.689,12.678,110.011,2,8,1640
32,13.557,12.352,1.206,2,8,1640
33,17.155,12.848,4.307,2,8,1640
34,16.265,12.441,3.824,2,8,1640
35,16.786,12.557,4.229,2,8,1640
36,16.565,12.464,4.101,2,8,1640
37,16.680,12.475,4.205,2,8,1640
38,16.831,12.643,4.188,2,8,1640
39,16.599,12.572,4.027,2,8,1640
40,15.933,11.839,4.094,2,8,1640
41,16.806,11.978,4.828,2,8,1640
42,16.532,11.846,4.685,2,8,1640
43,16.837,12.016,4.821,2,8,1640
44,16.781,12.133,4.649,2,8,1640
45,16.809,12.271,4.539,2,8,1640
46,16.913,12.523,4.391,2,8,1640
47,16.315,12.166,4.148,2,8,1640
48,16.405,11.904,4.501,2,8,1640
49,16.654,11.896,4.758,2,8,1640
50,16.993,12.212,4.781,2,8,1640
51,16.146,11.696,4.450,2,8,1640
52,16.853,11.887,4.966,2,8,1640
53,16.699,11.923,4.776,2,8,1640
54,16.585,11.838,4.747,2,8,1640
55,16.787,11.954,4.832,2,8,1640
56,16.780,12.073,4.707,2,8,1640
57,17.672,11.950,5.722,2,8,1640
58,16.666,11.945,4.722,2,8,1640
59,17.820,11.954,5.866,2,8,1640
60,17.405,12.040,5.365,2,8,1640
61,16.837,12.214,4.623,2,8,1640
62,17.690,11.941,5.750,2,8,1640
63,18.216,12.069,6.147,2,8,1640
64,16.524,11.924,4.599,2,8,1640
65,17.292,12.549,4.743,2,8,1640
66,16.297,12.122,4.175,2,8,1640
67,16.649,12.108,4.541,2,8,1640
68,16.527,11.956,4.571,2,8,1640
69,16.846,12.126,4.720,2,8,1640
70,16.462,11.931,4.530,2,8,1640
71,16.606,11.870,4.736,2,8,1640
72,17.059,12.254,4.805,2,8,1640
73,17.122,12.238,4.884,2,8,1640
74,16.562,12.147,4.415,2,8,1640
75,18.503,12.120,6.383,2,8,1640
76,17.620,12.093,5.528,2,8,1640
77,13.808,7.949,5.859,2,6,1000
78,17.825,8.028,9.797,2,6,1000
79,16.653,7.594,9.059,2,6,1000
80,16.992,7.621,9.371,2,6,1000
81,17.338,7.761,9.577,2,6,1000
82,17.054,7.862,9.192,2,6,1000
83,17.879,8.038,9.841,2,6,1000
84,16.863,8.237,8.626,2,6,1000
85,16.944,8.480,8.464,2,6,1000
86,16.391,8.229,8.161,2,6,1000
87,16.759,8.326,8.434,2,6,1000
88,16.663,8.332,8.331,2,6,1000
89,16.486,8.148,8.338,2,6,1000
90,16.517,7.995,8.522,2,6,1000
91,16.547,7.873,8.674,2,6,1000
92,16.393,7.606,8.787,2,6,1000
93,16.754,7.704,9.051,2,6,1000
94,16.811,7.842,8.969,2,6,1000
95,16.510,7.678,8.832,2,6,1000
96,16.751,7.761,8.990,2,6,1000
97,16.844,7.947,8.897,2,6,1000
98,16.432,7.702,8.729,2,6,1000
99,17.131,8.134,8.997,2,6,1000
100,16.336,7.834,8.502,2,6,1000
101,16.410,7.583,8.827,2,6,1000
102,16.806,7.732,9.074,2,6,1000
103,16.783,7.842,8.941,2,6,1000
104,16.444,7.615,8.829,2,6,1000
105,16.769,7.716,9.053,2,6,1000
106,16.800,7.860,8.940,2,6,1000
107,16.444,7.640,8.804,2,6,1000
108,16.826,7.785,9.041,2,6,1000
109,16.777,7.898,8.880,2,6,1000
110,16.616,7.849,8.766,2,6,1000
111,16.737,7.930,8.806,2,6,1000
112,16.698,7.950,8.748,2,6,1000
113,16.392,7.657,8.735,2,6,1000
114,16.752,7.765,8.987,2,6,1000
115,16.590,7.692,8.898,2,6,1000
116,16.632,7.667,8.965,2,6,1000
117,16.640,7.622,9.018,2,6,1000
118,16.787,7.741,9.047,2,6,1000
119,16.845,7.916,8.929,2,6,1000
120,16.555,7.829,8.726,2,6,1000
121,16.807,7.950,8.857,2,6,1000
122,16.361,7.647,8.714,2,6,1000
123,16.769,7.753,9.016,2,6,1000
124,16.924,8.011,8.914,2,6,1000
125,16.294,7.624,8.671,2,6,1000
126,16.904,7.870,9.034,2,6,1000
127,16.688,7.895,8.793,2,6,1000
128,16.343,7.566,8.777,2,6,1000
129,16.646,7.565,9.081,2,6,1000
130,17.081,7.964,9.117,2,6,1000
131,16.335,7.634,8.701,2,6,1000
132,16.781,7.745,9.036,2,6,1000
133,16.675,7.755,8.921,2,6,1000
134,16.468,7.575,8.893,2,6,1000
135,16.892,7.791,9.101,2,6,1000
136,16.810,7.923,8.887,2,6,1000
137,16.315,7.571,8.744,2,6,1000
138,16.915,7.822,9.093,2,6,1000
139,16.956,8.122,8.835,2,6,1000
140,16.177,7.627,8.550,2,6,1000
141,16.777,7.732,9.045,2,6,1000
142,16.532,7.605,8.927,2,6,1000
143,17.275,8.218,9.057,2,6,1000
144,16.687,8.222,8.465,2,6,1000
145,16.342,7.901,8.441,2,6,1000
146,16.489,7.721,8.768,2,6,1000
147,16.783,7.838,8.946,2,6,1000
148,16.627,7.810,8.816,2,6,1000
149,16.471,7.608,8.863,2,6,1000
150,16.823,7.761,9.062,2,6,1000
151,16.588,7.682,8.907,2,6,1000
152,16.560,7.584,8.976,2,6,1000
153,16.821,7.729,9.091,2,6,1000
154,16.588,7.653,8.935,2,6,1000
155,16.558,7.542,9.017,2,6,1000
156,16.916,7.816,9.100,2,6,1000
157,16.746,7.901,8.845,2,6,1000
158,16.328,7.552,8.776,2,6,1000
159,16.764,7.651,9.114,2,6,1000
160,16.811,7.796,9.015,2,6,1000
161,16.498,7.629,8.869,2,6,1000
162,16.911,7.875,9.036,2,6,1000
163,16.708,7.918,8.790,2,6,1000
164,16.395,7.639,8.756,2,6,1000
165,16.947,7.923,9.023,2,6,1000
166,16.745,8.001,8.744,2,6,1000
167,16.281,7.615,8.666,2,6,1000
168,16.782,7.725,9.057,2,6,1000
169,16.822,7.885,8.937,2,6,1000
170,16.527,7.749,8.778,2,6,1000
171,16.624,7.704,8.920,2,6,1000
172,16.791,7.834,8.957,2,6,1000
173,16.485,7.646,8.839,2,6,1000
174,17.292,8.270,9.022,2,6,1000
175,16.616,8.226,8.390,2,6,1000
176,16.561,8.123,8.438,2,6,1000
177,16.648,8.098,8.550,2,6,1000
178,16.841,8.248,8.594,2,6,1000
179,16.533,8.144,8.389,2,6,1000
180,16.267,7.737,8.529,2,6,1000
181,16.869,7.946,8.922,2,6,1000
182,16.304,7.587,8.717,2,6,1000
183,16.932,7.843,9.089,2,6,1000
184,16.509,7.686,8.823,2,6,1000
185,17.106,8.122,8.984,2,6,1000
186,16.391,7.822,8.569,2,6,1000
187,16.439,7.621,8.818,2,6,1000
188,16.618,7.573,9.045,2,6,1000
189,16.926,7.836,9.090,2,6,1000
190,16.424,7.597,8.828,2,6,1000
191,16.620,7.543,9.077,2,6,1000
192,16.944,7.822,9.122,2,6,1000
193,16.576,7.733,8.843,2,6,1000
194,16.488,7.552,8.936,2,6,1000
195,16.873,7.762,9.111,2,6,1000
196,16.539,7.632,8.906,2,6,1000
197,16.704,7.668,9.036,2,6,1000
198,16.835,7.835,9.000,2,6,1000
199,16.686,7.845,8.842,2,6,1000
200,16.492,7.682,8.810,2,6,1000
201,16.729,7.745,8.984,2,6,1000
202,16.571,7.655,8.916,2,6,1000
203,16.605,7.584,9.021,2,6,1000
204,17.188,8.096,9.091,2,6,1000
205,16.471,7.916,8.555,2,6,1000
206,16.574,7.809,8.765,2,6,1000
207,16.648,7.801,8.847,2,6,1000
208,16.540,7.676,8.865,2,6,1000
209,16.596,7.611,8.984,2,6,1000
210,16.939,7.878,9.061,2,6,1000
211,16.480,7.694,8.785,2,6,1000
212,16.540,7.564,8.976,2,6,1000
213,16.868,7.765,9.103,2,6,1000
214,16.967,8.062,8.905,2,6,1000
215,16.189,7.579,8.610,2,6,1000
216,16.680,7.596,9.083,2,6,1000
217,16.727,7.666,9.061,2,6,1000
218,16.622,7.612,9.009,2,6,1000
219,16.652,7.600,9.053,2,6,1000
220,16.761,7.690,9.071,2,6,1000
221,16.583,7.618,8.965,2,6,1000
222,16.912,7.856,9.056,2,6,1000
223,16.507,7.704,8.803,2,6,1000
224,16.638,7.667,8.971,2,6,1000
225,16.834,7.840,8.994,2,6,1000
226,16.662,7.837,8.825,2,6,1000
227,16.703,7.866,8.837,2,6,1000
228,16.776,7.975,8.801,2,6,1000
229,16.313,7.627,8.686,2,6,1000
230,16.931,7.895,9.036,2,6,1000
231,16.481,7.700,8.780,2,6,1000
232,16.611,7.650,8.961,2,6,1000
233,16.736,7.718,9.018,2,6,1000
234,16.808,7.831,8.977,2,6,1000
235,16.545,7.731,8.814,2,6,1000
236,16.529,7.604,8.924,2,6,1000
237,16.939,7.868,9.070,2,6,1000
238,16.483,7.687,8.796,2,6,1000
239,16.551,7.569,8.981,2,6,1000
240,17.292,8.194,9.099,2,6,1000
241,16.307,7.835,8.472,2,6,1000
242,16.431,7.602,8.829,2,6,1000
243,16.844,7.752,9.092,2,6,1000
244,16.511,7.623,8.888,2,6,1000
245,16.957,7.912,9.045,2,6,1000
246,16.556,7.802,8.753,2,6,1000
247,16.546,7.681,8.865,2,6,1000
248,16.581,7.593,8.988,2,6,1000
249,16.749,7.679,9.070,2,6,1000
250,16.608,7.618,8.991,2,6,1000
251,16.687,7.642,9.045,2,6,1000
252,16.869,7.845,9.024,2,6,1000
253,16.435,7.612,8.823,2,6,1000
254,16.681,7.626,9.055,2,6,1000
255,16.779,7.738,9.041,2,6,1000
256,16.647,7.704,8.943,2,6,1000
257,16.575,7.629,8.946,2,6,1000
258,21.219,12.166,9.053,2,8,1640
259,16.306,11.793,4.513,2,8,1640
260,16.872,12.008,4.863,2,8,1640
261,16.465,11.810,4.655,2,8,1640
262,16.728,11.870,4.858,2,8,1640
263,16.644,11.848,4.797,2,8,1640
264,17.738,12.920,4.818,2,8,1640
265,16.242,12.493,3.749,2,8,1640
266,17.229,13.056,4.173,2,8,1640
267,16.342,12.733,3.609,2,8,1640
268,16.814,12.875,3.939,2,8,1640
269,16.310,12.520,3.790,2,8,1640
270,16.652,12.509,4.143,2,8,1640
271,16.765,12.604,4.161,2,8,1640
272,15.902,11.845,4.057,2,8,1640
273,16.606,11.788,4.818,2,8,1640
274,16.679,11.794,4.885,2,8,1640
275,16.749,11.875,4.874,2,8,1640
276,16.851,12.066,4.786,2,8,1640
277,16.495,11.893,4.602,2,8,1640
278,16.699,11.921,4.778,2,8,1640
279,16.527,11.783,4.745,2,8,1640
280,17.000,12.111,4.889,2,8,1640
281,16.356,11.806,4.549,2,8,1640
282,16.925,12.062,4.862,2,8,1640
283,16.563,11.962,4.600,2,8,1640
284,16.518,11.810,4.708,2,8,1640
285,16.796,11.941,4.854,2,8,1640
286,16.847,12.122,4.725,2,8,1640
287,16.384,11.838,4.546,2,8,1640
288,16.695,11.864,4.830,2,8,1640
289,16.843,12.014,4.829,2,8,1640
290,16.685,12.060,4.624,2,8,1640
291,16.623,12.018,4.605,2,8,1640
292,16.593,11.946,4.648,2,8,1640
293,16.512,11.791,4.721,2,8,1640
294,16.875,11.999,4.876,2,8,1640
295,16.670,11.919,4.750,2,8,1640
296,16.565,11.900,4.665,2,8,1640
297,16.817,12.056,4.761,2,8,1640
