# cpu: sse2=1 sse41=1 avx2=1 avx512=1
frame,total_ms,raster_ms,other_ms,flushes,tris,binned,area_px,bbox_px,tw,th,m_tex,m_bilin,m_over,m_add,m_blendoth,m_atest,m_ztest,m_flat,m_linv
1,0.000,2.418,-2.418,1,2,480,921600,1843200,2048,1024,921600,0,921600,0,0,921600,0,921600,0
2,93.958,1.590,92.368,1,2,480,921600,1843200,2048,1024,921600,0,921600,0,0,921600,0,921600,0
3,16.740,1.671,15.069,1,2,480,921600,1843200,2048,1024,921600,0,921600,0,0,921600,0,921600,0
4,19.559,4.085,15.474,2,6,1160,2605954,4495968,2048,1024,2605954,0,2605954,0,0,2605954,0,2605954,45954
5,16.445,4.035,12.410,2,6,1160,2605954,4495968,2048,1024,2605954,0,2605954,0,0,2605954,0,2605954,45954
6,16.717,4.095,12.622,2,6,1160,2605954,4495968,2048,1024,2605954,0,2605954,0,0,2605954,0,2605954,45954
7,16.231,4.077,12.154,2,6,1160,2605954,4495968,2048,1024,2605954,0,2605954,0,0,2605954,0,2605954,45954
8,16.570,3.982,12.589,2,6,1160,2605954,4495968,2048,1024,2605954,0,2605954,0,0,2605954,0,2605954,45954
9,16.894,4.183,12.711,2,6,1160,2605954,4495968,2048,1024,2605954,0,2605954,0,0,2605954,0,2605954,45954
10,16.412,3.950,12.463,2,6,1160,2605954,4495968,2048,1024,2605954,0,2605954,0,0,2605954,0,2605954,45954
11,16.627,3.919,12.709,2,6,1160,2605954,4495968,2048,1024,2605954,0,2605954,0,0,2605954,0,2605954,45954
12,16.653,3.912,12.741,2,6,1160,2605954,4495968,2048,1024,2605954,0,2605954,0,0,2605954,0,2605954,45954
13,16.695,3.931,12.764,2,6,1160,2605954,4495968,2048,1024,2605954,0,2605954,0,0,2605954,0,2605954,45954
14,41.742,8.248,33.494,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
15,8.934,7.752,1.182,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
16,17.095,8.156,8.939,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
17,16.428,7.906,8.522,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
18,16.696,7.976,8.720,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
19,16.546,7.849,8.697,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
20,16.731,7.902,8.828,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
21,16.367,7.608,8.758,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
22,16.908,7.857,9.051,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
23,16.726,7.907,8.819,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
24,16.462,7.698,8.764,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
25,16.917,7.952,8.964,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
26,16.264,7.553,8.711,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
27,16.906,7.791,9.115,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
28,16.635,7.770,8.865,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
29,16.797,7.893,8.904,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
30,16.322,7.546,8.776,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
31,91.956,7.310,84.646,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
32,17.007,7.634,9.373,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
33,16.550,7.517,9.033,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
34,16.686,7.529,9.158,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
35,16.822,7.710,9.112,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
36,16.653,7.680,8.973,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
37,16.551,7.570,8.981,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
38,16.865,7.776,9.089,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
39,16.439,7.539,8.900,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
40,16.945,7.809,9.136,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
41,16.629,7.776,8.853,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
42,16.451,7.556,8.895,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
43,16.653,7.548,9.105,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
44,16.683,7.570,9.113,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
45,16.669,7.565,9.103,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
46,17.004,7.904,9.101,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
47,16.643,7.878,8.765,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
48,16.360,7.569,8.791,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
49,16.716,7.609,9.107,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
50,16.696,7.651,9.045,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
51,16.659,7.642,9.017,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
52,16.613,7.590,9.023,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
53,16.676,7.602,9.074,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
54,16.623,7.555,9.067,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
