frame,total_ms,raster_ms,other_ms,flushes,tris,binned
1,0.000,2.243,-2.243,1,2,480
2,108.469,1.779,106.690,1,2,480
3,17.422,2.533,14.889,1,2,480
4,15.757,1.600,14.157,1,2,480
5,16.736,1.681,15.054,1,2,480
6,16.662,1.674,14.987,1,2,480
7,16.870,1.899,14.971,1,2,480
8,16.431,1.657,14.775,1,2,480
9,16.561,1.569,14.992,1,2,480
10,16.768,1.659,15.109,1,2,480
11,16.924,1.917,15.007,1,2,480
12,16.424,1.684,14.739,1,2,480
13,16.663,1.833,14.830,1,2,480
14,16.597,1.764,14.833,1,2,480
15,16.685,1.783,14.903,1,2,480
16,16.655,1.773,14.882,1,2,480
17,16.598,1.664,14.934,1,2,480
18,19.346,4.138,15.209,1,6,1160
19,16.505,4.191,12.313,1,6,1160
20,16.550,4.062,12.488,1,6,1160
21,16.667,4.064,12.603,1,6,1160
22,16.747,4.146,12.601,1,6,1160
23,16.553,4.030,12.523,1,6,1160
24,16.683,4.059,12.624,1,6,1160
25,16.679,4.073,12.606,1,6,1160
26,16.726,4.120,12.605,1,6,1160
27,16.671,4.095,12.575,1,6,1160
28,44.960,8.126,36.834,2,8,1640
29,8.933,7.780,1.153,2,8,1640
30,16.757,7.866,8.891,2,8,1640
31,94.450,8.039,86.411,2,8,1640
32,16.407,7.784,8.623,2,8,1640
33,16.934,8.046,8.888,2,8,1640
34,16.660,8.047,8.613,2,8,1640
35,16.613,7.992,8.620,2,8,1640
36,16.645,7.976,8.669,2,8,1640
37,16.678,7.986,8.692,2,8,1640
38,16.344,7.657,8.687,2,8,1640
39,16.753,7.747,9.007,2,8,1640
40,16.693,7.782,8.911,2,8,1640
41,16.581,7.686,8.895,2,8,1640
42,16.708,7.731,8.977,2,8,1640
43,16.843,7.897,8.946,2,8,1640
44,16.735,7.973,8.761,2,8,1640
45,16.572,7.885,8.687,2,8,1640
46,16.688,7.904,8.784,2,8,1640
47,16.400,7.636,8.765,2,8,1640
48,16.770,7.738,9.032,2,8,1640
49,16.628,7.706,8.922,2,8,1640
50,16.648,7.679,8.970,2,8,1640
51,16.631,7.646,8.986,2,8,1640
52,17.123,8.098,9.025,2,8,1640
53,16.270,7.706,8.564,2,8,1640
54,16.709,7.745,8.964,2,8,1640
55,16.636,7.718,8.918,2,8,1640
56,17.120,8.176,8.944,2,8,1640
57,16.506,8.002,8.503,2,8,1640
58,16.510,7.854,8.656,2,8,1640
59,16.628,7.823,8.805,2,8,1640
60,16.575,7.722,8.853,2,8,1640
61,16.648,7.712,8.936,2,8,1640
62,16.570,7.610,8.960,2,8,1640
63,17.108,8.047,9.061,2,8,1640
64,16.337,7.719,8.618,2,8,1640
65,16.545,7.600,8.944,2,8,1640
66,16.620,7.553,9.068,2,8,1640
67,16.813,7.708,9.105,2,8,1640
68,16.709,7.741,8.969,2,8,1640
69,16.710,7.785,8.925,2,8,1640
70,16.658,7.786,8.872,2,8,1640
71,16.665,7.775,8.890,2,8,1640
72,14.399,5.531,8.868,2,6,1000
73,16.616,5.486,11.130,2,6,1000
74,16.645,5.448,11.197,2,6,1000
75,16.738,5.524,11.215,2,6,1000
76,16.598,5.431,11.166,2,6,1000
77,16.642,5.438,11.203,2,6,1000
78,16.749,5.531,11.218,2,6,1000
79,16.552,5.388,11.164,2,6,1000
80,17.035,5.766,11.269,2,6,1000
81,16.691,5.795,10.896,2,6,1000
82,16.682,5.793,10.888,2,6,1000
83,16.635,5.794,10.841,2,6,1000
84,16.730,5.843,10.887,2,6,1000
85,16.645,5.798,10.847,2,6,1000
86,16.263,5.408,10.855,2,6,1000
87,16.822,5.575,11.247,2,6,1000
88,16.689,5.574,11.114,2,6,1000
89,16.487,5.410,11.077,2,6,1000
90,16.797,5.521,11.276,2,6,1000
91,16.585,5.460,11.124,2,6,1000
92,16.744,5.546,11.197,2,6,1000
93,16.699,5.578,11.121,2,6,1000
94,16.514,5.415,11.099,2,6,1000
95,16.705,5.457,11.249,2,6,1000
96,16.683,5.467,11.215,2,6,1000
97,16.592,5.398,11.194,2,6,1000
98,16.724,5.456,11.268,2,6,1000
99,16.666,5.441,11.225,2,6,1000
100,16.686,5.473,11.213,2,6,1000
101,16.693,5.511,11.182,2,6,1000
102,16.644,5.466,11.178,2,6,1000
103,16.625,5.441,11.183,2,6,1000
104,16.668,5.428,11.240,2,6,1000
105,16.759,5.543,11.216,2,6,1000
106,16.747,5.595,11.152,2,6,1000
107,16.427,5.376,11.051,2,6,1000
108,16.768,5.469,11.299,2,6,1000
109,16.593,5.405,11.188,2,6,1000
