frame,total_ms,raster_ms,other_ms,flushes,tris,binned,area_px,bbox_px,tw,th
1,0.000,2.281,-2.281,1,2,480,921600,1843200,2048,1024
2,113.413,1.718,111.695,1,2,480,921600,1843200,2048,1024
3,16.590,1.661,14.929,1,2,480,921600,1843200,2048,1024
4,16.525,1.517,15.008,1,2,480,921600,1843200,2048,1024
5,16.800,1.628,15.173,1,2,480,921600,1843200,2048,1024
6,16.608,1.609,14.999,1,2,480,921600,1843200,2048,1024
7,16.667,1.597,15.071,1,2,480,921600,1843200,2048,1024
8,19.434,3.863,15.571,1,6,1160,2605954,4495968,2048,1024
9,16.381,3.882,12.499,1,6,1160,2605954,4495968,2048,1024
10,16.418,3.935,12.482,1,6,1160,2605954,4495968,2048,1024
11,16.837,4.073,12.764,1,6,1160,2605954,4495968,2048,1024
12,16.626,4.068,12.558,1,6,1160,2605954,4495968,2048,1024
13,16.566,3.980,12.586,1,6,1160,2605954,4495968,2048,1024
14,44.739,8.443,36.295,2,8,1640,3524836,6333732,2048,1024
15,9.117,7.757,1.361,2,8,1640,3524836,6333732,2048,1024
16,16.631,7.708,8.923,2,8,1640,3524836,6333732,2048,1024
17,16.690,7.739,8.951,2,8,1640,3524836,6333732,2048,1024
18,16.765,7.845,8.920,2,8,1640,3524836,6333732,2048,1024
19,16.631,7.776,8.855,2,8,1640,3524836,6333732,2048,1024
20,16.785,7.920,8.865,2,8,1640,3524836,6333732,2048,1024
21,16.492,7.742,8.750,2,8,1640,3524836,6333732,2048,1024
22,16.760,7.834,8.927,2,8,1640,3524836,6333732,2048,1024
23,16.734,7.902,8.832,2,8,1640,3524836,6333732,2048,1024
24,16.702,7.940,8.763,2,8,1640,3524836,6333732,2048,1024
25,16.566,7.833,8.733,2,8,1640,3524836,6333732,2048,1024
26,16.858,8.025,8.833,2,8,1640,3524836,6333732,2048,1024
27,16.518,7.886,8.632,2,8,1640,3524836,6333732,2048,1024
28,16.532,7.747,8.786,2,8,1640,3524836,6333732,2048,1024
29,16.438,7.512,8.926,2,8,1640,3524836,6333732,2048,1024
30,16.549,7.413,9.136,2,8,1640,3524836,6333732,2048,1024
31,93.463,7.649,85.814,2,8,1640,3524836,6333732,2048,1024
32,17.685,8.686,8.999,2,8,1640,3524836,6333732,2048,1024
33,15.812,7.797,8.015,2,8,1640,3524836,6333732,2048,1024
34,16.548,7.711,8.837,2,8,1640,3524836,6333732,2048,1024
35,16.863,7.894,8.969,2,8,1640,3524836,6333732,2048,1024
36,16.494,7.720,8.774,2,8,1640,3524836,6333732,2048,1024
37,16.712,7.798,8.914,2,8,1640,3524836,6333732,2048,1024
38,16.798,7.903,8.895,2,8,1640,3524836,6333732,2048,1024
39,16.553,7.807,8.746,2,8,1640,3524836,6333732,2048,1024
40,16.655,7.765,8.890,2,8,1640,3524836,6333732,2048,1024
41,16.680,7.736,8.944,2,8,1640,3524836,6333732,2048,1024
42,17.009,7.992,9.017,2,8,1640,3524836,6333732,2048,1024
43,17.155,8.514,8.641,2,8,1640,3524836,6333732,2048,1024
44,16.010,7.971,8.039,2,8,1640,3524836,6333732,2048,1024
45,16.650,7.967,8.682,2,8,1640,3524836,6333732,2048,1024
46,16.796,8.082,8.714,2,8,1640,3524836,6333732,2048,1024
47,16.562,7.991,8.571,2,8,1640,3524836,6333732,2048,1024
48,16.456,7.739,8.717,2,8,1640,3524836,6333732,2048,1024
49,16.574,7.687,8.886,2,8,1640,3524836,6333732,2048,1024
50,16.828,7.855,8.972,2,8,1640,3524836,6333732,2048,1024
51,16.569,7.752,8.817,2,8,1640,3524836,6333732,2048,1024
52,16.870,7.957,8.913,2,8,1640,3524836,6333732,2048,1024
53,16.759,8.046,8.713,2,8,1640,3524836,6333732,2048,1024
54,16.466,7.838,8.628,2,8,1640,3524836,6333732,2048,1024
55,17.036,8.210,8.825,2,8,1640,3524836,6333732,2048,1024
56,16.438,7.983,8.455,2,8,1640,3524836,6333732,2048,1024
57,16.402,7.726,8.677,2,8,1640,3524836,6333732,2048,1024
58,16.882,7.937,8.945,2,8,1640,3524836,6333732,2048,1024
59,16.915,8.186,8.729,2,8,1640,3524836,6333732,2048,1024
60,16.788,8.271,8.517,2,8,1640,3524836,6333732,2048,1024
61,16.564,8.203,8.361,2,8,1640,3524836,6333732,2048,1024
62,14.219,5.771,8.448,2,6,1000,1886436,3773732,2048,1024
63,16.568,5.672,10.896,2,6,1000,1886436,3773732,2048,1024
64,16.694,5.704,10.990,2,6,1000,1886436,3773732,2048,1024
65,17.232,6.275,10.957,2,6,1000,1886436,3773732,2048,1024
66,16.133,5.728,10.405,2,6,1000,1886436,3773732,2048,1024
67,16.590,5.650,10.940,2,6,1000,1886436,3773732,2048,1024
68,16.940,5.926,11.014,2,6,1000,1886436,3773732,2048,1024
69,16.723,5.985,10.738,2,6,1000,1886436,3773732,2048,1024
70,16.376,5.715,10.661,2,6,1000,1886436,3773732,2048,1024
71,16.665,5.694,10.971,2,6,1000,1886436,3773732,2048,1024
72,16.531,5.559,10.972,2,6,1000,1886436,3773732,2048,1024
73,16.738,5.630,11.107,2,6,1000,1886436,3773732,2048,1024
74,16.630,5.591,11.039,2,6,1000,1886436,3773732,2048,1024
75,16.605,5.545,11.060,2,6,1000,1886436,3773732,2048,1024
76,16.725,5.593,11.132,2,6,1000,1886436,3773732,2048,1024
77,17.048,5.973,11.075,2,6,1000,1886436,3773732,2048,1024
78,16.775,6.078,10.697,2,6,1000,1886436,3773732,2048,1024
79,16.499,5.919,10.581,2,6,1000,1886436,3773732,2048,1024
80,16.970,6.217,10.753,2,6,1000,1886436,3773732,2048,1024
81,16.454,6.004,10.450,2,6,1000,1886436,3773732,2048,1024
82,16.373,5.615,10.758,2,6,1000,1886436,3773732,2048,1024
83,18.024,6.066,11.958,2,6,1000,1886436,3773732,2048,1024
84,16.758,5.529,11.230,2,6,1000,1886436,3773732,2048,1024
85,17.390,5.629,11.761,2,6,1000,1886436,3773732,2048,1024
86,17.529,5.762,11.767,2,6,1000,1886436,3773732,2048,1024
87,17.259,5.477,11.781,2,6,1000,1886436,3773732,2048,1024
88,17.730,5.664,12.066,2,6,1000,1886436,3773732,2048,1024
89,17.931,5.438,12.494,2,6,1000,1886436,3773732,2048,1024
90,16.590,5.368,11.222,2,6,1000,1886436,3773732,2048,1024
91,16.720,5.412,11.308,2,6,1000,1886436,3773732,2048,1024
92,16.637,5.360,11.277,2,6,1000,1886436,3773732,2048,1024
93,16.681,5.412,11.270,2,6,1000,1886436,3773732,2048,1024
94,16.655,5.393,11.262,2,6,1000,1886436,3773732,2048,1024
95,16.644,5.364,11.280,2,6,1000,1886436,3773732,2048,1024
96,16.681,5.380,11.301,2,6,1000,1886436,3773732,2048,1024
97,16.851,5.574,11.277,2,6,1000,1886436,3773732,2048,1024
98,16.847,5.746,11.101,2,6,1000,1886436,3773732,2048,1024
99,16.316,5.399,10.918,2,6,1000,1886436,3773732,2048,1024
100,16.754,5.479,11.275,2,6,1000,1886436,3773732,2048,1024
101,16.743,5.552,11.191,2,6,1000,1886436,3773732,2048,1024
102,16.545,5.393,11.152,2,6,1000,1886436,3773732,2048,1024
103,16.537,5.309,11.228,2,6,1000,1886436,3773732,2048,1024
104,16.666,5.309,11.358,2,6,1000,1886436,3773732,2048,1024
105,16.683,5.327,11.356,2,6,1000,1886436,3773732,2048,1024
106,16.684,5.338,11.346,2,6,1000,1886436,3773732,2048,1024
107,16.663,5.343,11.321,2,6,1000,1886436,3773732,2048,1024
108,17.039,5.711,11.328,2,6,1000,1886436,3773732,2048,1024
109,17.047,6.089,10.958,2,6,1000,1886436,3773732,2048,1024
110,16.556,5.981,10.575,2,6,1000,1886436,3773732,2048,1024
111,16.438,5.762,10.676,2,6,1000,1886436,3773732,2048,1024
112,16.551,5.599,10.952,2,6,1000,1886436,3773732,2048,1024
113,16.658,5.618,11.040,2,6,1000,1886436,3773732,2048,1024
114,17.270,6.191,11.079,2,6,1000,1886436,3773732,2048,1024
115,16.372,5.921,10.451,2,6,1000,1886436,3773732,2048,1024
116,16.546,5.821,10.725,2,6,1000,1886436,3773732,2048,1024
117,16.673,5.755,10.917,2,6,1000,1886436,3773732,2048,1024
118,16.474,5.620,10.854,2,6,1000,1886436,3773732,2048,1024
119,16.793,5.685,11.108,2,6,1000,1886436,3773732,2048,1024
120,16.368,5.447,10.922,2,6,1000,1886436,3773732,2048,1024
121,17.061,5.849,11.212,2,6,1000,1886436,3773732,2048,1024
122,16.309,5.451,10.858,2,6,1000,1886436,3773732,2048,1024
123,16.553,5.375,11.178,2,6,1000,1886436,3773732,2048,1024
124,16.856,5.551,11.305,2,6,1000,1886436,3773732,2048,1024
125,16.568,5.481,11.087,2,6,1000,1886436,3773732,2048,1024
126,16.537,5.342,11.195,2,6,1000,1886436,3773732,2048,1024
127,16.724,5.375,11.349,2,6,1000,1886436,3773732,2048,1024
128,17.082,5.813,11.269,2,6,1000,1886436,3773732,2048,1024
129,16.458,5.615,10.843,2,6,1000,1886436,3773732,2048,1024
130,16.583,5.528,11.055,2,6,1000,1886436,3773732,2048,1024
131,16.671,5.496,11.175,2,6,1000,1886436,3773732,2048,1024
132,16.847,5.702,11.145,2,6,1000,1886436,3773732,2048,1024
133,16.317,5.353,10.965,2,6,1000,1886436,3773732,2048,1024
134,16.864,5.560,11.304,2,6,1000,1886436,3773732,2048,1024
135,16.593,5.476,11.117,2,6,1000,1886436,3773732,2048,1024
136,16.637,5.457,11.181,2,6,1000,1886436,3773732,2048,1024
137,16.747,5.530,11.217,2,6,1000,1886436,3773732,2048,1024
138,16.470,5.331,11.139,2,6,1000,1886436,3773732,2048,1024
139,16.695,5.374,11.322,2,6,1000,1886436,3773732,2048,1024
140,16.744,5.436,11.308,2,6,1000,1886436,3773732,2048,1024
141,16.733,5.505,11.227,2,6,1000,1886436,3773732,2048,1024
142,16.619,5.468,11.151,2,6,1000,1886436,3773732,2048,1024
143,16.631,5.436,11.195,2,6,1000,1886436,3773732,2048,1024
144,16.670,5.426,11.244,2,6,1000,1886436,3773732,2048,1024
145,16.657,5.424,11.233,2,6,1000,1886436,3773732,2048,1024
146,16.561,5.310,11.250,2,6,1000,1886436,3773732,2048,1024
147,16.592,5.259,11.333,2,6,1000,1886436,3773732,2048,1024
148,16.898,5.488,11.409,2,6,1000,1886436,3773732,2048,1024
149,16.776,5.601,11.174,2,6,1000,1886436,3773732,2048,1024
150,16.573,5.507,11.066,2,6,1000,1886436,3773732,2048,1024
151,16.473,5.313,11.159,2,6,1000,1886436,3773732,2048,1024
152,16.764,5.410,11.354,2,6,1000,1886436,3773732,2048,1024
